date,ticker,open,high,low,close
2023-08-31 00:00:00,	GOOG,	130.85,	132.92,	127.78,	130.17
2023-07-31 00:00:00,	GOOG,	120.32,	134.07,	115.83,	133.11
2023-06-30 00:00:00,	GOOG,	123.50,	129.55,	116.91,	120.97
2023-05-31 00:00:00,	GOOG,	107.72,	127.05,	104.50,	123.37
2023-04-30 00:00:00,	GOOG,	102.67,	109.63,	102.38,	108.22
2023-03-31 00:00:00,	GOOG,	90.16,	107.51,	89.77,	104.00
2023-02-28 00:00:00,	GOOG,	99.74,	108.82,	88.86,	90.30
2023-01-31 00:00:00,	GOOG,	89.83,	101.58,	85.57,	99.87
2022-12-31 00:00:00,	GOOG,	101.40,	102.59,	86.37,	88.73
2022-11-30 00:00:00,	GOOG,	95.59,  101.45,	83.45,	101.45
2022-10-31 00:00:00,	GOOG,	97.22,	105.10,	91.90,	94.66
2022-09-30 00:00:00,	GOOG,	109.20,	112.64,	96.03,	96.15
2022-08-31 00:00:00,	GOOG,	115.53,	123.26,	108.80,	109.15
2022-07-31 00:00:00,	GOOG,	108.34,	120.43,	104.76,	116.64
2022-06-30 00:00:00,	GOOG,	114.93,	119.40,	105.63,	109.37
2022-05-31 00:00:00,	GOOG,	113.91,	123.14,	102.21,	114.04
2022-04-30 00:00:00,	GOOG,	140.01,	144.04,	113.12,	114.97
2022-03-31 00:00:00,	GOOG,	134.48,	144.16,	125.86,	139.65
2022-02-28 00:00:00,	GOOG,	137.84,	152.10,	124.76,	134.89
2022-01-31 00:00:00,	GOOG,	144.48,	146.61,	124.64,	135.70
2021-12-31 00:00:00,	GOOG,	144.21,	149.60,	140.25,	144.68
2021-11-30 00:00:00,	GOOG,	148.16,	151.85,	142.07,	142.45
2021-10-31 00:00:00,	GOOG,	133.55,	149.12,	131.17,	148.27
2021-09-30 00:00:00,	GOOG,	145.65,	146.82,	133.00,	133.27
2021-08-31 00:00:00,	GOOG,	135.48,	146.49,	134.18,	145.46
2021-07-31 00:00:00,	GOOG,	124.85,	140.01,	124.85,	135.22
2021-06-30 00:00:00,	GOOG,	121.10,	127.80,	119.14,	125.32
2021-05-31 00:00:00,	GOOG,	120.14,	122.15,	111.50,	120.58
2021-04-30 00:00:00,	GOOG,	104.90,	122.62,	104.84,	120.51
2021-03-31 00:00:00,	GOOG,	102.83,	106.44,	100.50,	103.43
2021-02-28 00:00:00,	GOOG,	92.68,	107.63,	92.55,	101.84
2021-01-31 00:00:00,	GOOG,	87.88,	96.74,	84.95,	91.79
2020-12-31 00:00:00,	GOOG,	88.72,	92.36,	84.95,	87.59
2020-11-30 00:00:00,	GOOG,	81.41,	90.90,	80.80,	88.04
2020-10-31 00:00:00,	GOOG,	74.21,	84.35,	71.80,	81.05
2020-09-30 00:00:00,	GOOG,	81.83,	86.66,	70.33,	73.48
2020-08-31 00:00:00,	GOOG,	74.33,	82.96,	72.93,	81.71
2020-07-31 00:00:00,	GOOG,	70.56,	79.35,	70.49,	74.15
2020-06-30 00:00:00,	GOOG,	70.92,	73.80,	67.35,	70.68
2020-05-31 00:00:00,	GOOG,	66.43,	72.05,	64.95,	71.45
2020-04-30 00:00:00,	GOOG,	56.10,	68.00,	53.99,	67.43
2020-03-31 00:00:00,	GOOG,	67.58,	70.51,	50.68,	58.14
2020-02-29 00:00:00,	GOOG,	73.10,	76.61,	63.55,	66.97
2020-01-31 00:00:00,	GOOG,	67.08,	75.16,	67.08,	71.71
