date,monthly_diff,three_month_diff
2020-01-31 00:00:00,	NULL	,NULL
2020-02-29 00:00:00,	-4.74	,NULL
2020-03-31 00:00:00,	-8.83	,NULL
2020-04-30 00:00:00,	9.29	,-4.28
2020-05-31 00:00:00,	4.02	,4.48
2020-06-30 00:00:00,	-0.77	,12.54
2020-07-31 00:00:00,	3.47	,6.72
2020-08-31 00:00:00,	7.56	,10.26
2020-09-30 00:00:00,	-8.23	,2.80
2020-10-31 00:00:00,	7.57	,6.90
2020-11-30 00:00:00,	6.99	,6.33
2020-12-31 00:00:00,	-0.45	,14.11
2021-01-31 00:00:00,	4.20	,10.74
2021-02-28 00:00:00,	10.05	,13.80
2021-03-31 00:00:00,	1.59	,15.84
2021-04-30 00:00:00,	17.08	,28.72
2021-05-31 00:00:00,	0.07	,18.74
2021-06-30 00:00:00,	4.74	,21.89
2021-07-31 00:00:00,	9.90	,14.71
2021-08-31 00:00:00,	10.24	,24.88
2021-09-30 00:00:00,	-12.19	,7.95
2021-10-31 00:00:00,	15.00	,13.05
2021-11-30 00:00:00,	-5.82	,-3.01
2021-12-31 00:00:00,	2.23	,11.41
2022-01-31 00:00:00,	-8.98	,-12.57
2022-02-28 00:00:00,	-0.81	,-7.56
2022-03-31 00:00:00,	4.76	,-5.03
2022-04-30 00:00:00,	-24.68	,-20.73
2022-05-31 00:00:00,	-0.93	,-20.85
2022-06-30 00:00:00,	-4.67	,-30.28
2022-07-31 00:00:00,	7.27	,1.67
2022-08-31 00:00:00,	-7.49	,-4.89
2022-09-30 00:00:00,	-13.00	,-13.22
2022-10-31 00:00:00,	-1.49	,-21.98
2022-11-30 00:00:00,	6.79	,-7.70
2022-12-31 00:00:00,	-12.72	,-7.42
2023-01-31 00:00:00,	11.14	,5.21
2023-02-28 00:00:00,	-9.57	,-11.15
2023-03-31 00:00:00,	13.70	,15.27
2023-04-30 00:00:00,	4.22	,8.35
2023-05-31 00:00:00,	15.15	,33.07
2023-06-30 00:00:00,	-2.40	,16.97
2023-07-31 00:00:00,	12.14	,24.89
2023-08-31 00:00:00,	-2.94	,6.80
